iter	Logloss
0	0.6463958889
1	0.6125404221
2	0.5864139292
3	0.5647858348
4	0.54865089
5	0.5375341819
6	0.5283405548
7	0.5217130048
8	0.5145587727
9	0.5092976973
10	0.5052153696
11	0.5017538461
12	0.4988062017
13	0.4964071549
14	0.4941454192
15	0.4926135045
16	0.4906421242
17	0.4889497695
18	0.4880909474
19	0.4871322579
20	0.4862666983
21	0.4853070421
22	0.4847345326
23	0.4841114326
24	0.4835852891
25	0.4831592877
26	0.4824880004
27	0.4819481997
28	0.4815238552
29	0.4812256316
30	0.4809381284
31	0.480630343
32	0.4803682029
33	0.4800892478
34	0.4798368743
35	0.479551827
36	0.4793120079
37	0.4790188909
38	0.4788347252
39	0.478420841
40	0.4782475481
41	0.4780521301
42	0.4778706365
43	0.4777265178
44	0.4774425072
45	0.4772881757
46	0.4771792138
47	0.4769955273
48	0.4768746591
49	0.4766887604
50	0.4765124126
51	0.4763726746
52	0.4762322333
53	0.476105013
54	0.4759408235
55	0.4756887415
56	0.4756110061
57	0.4754147209
58	0.4753046086
59	0.4752309996
60	0.475126481
61	0.4749437665
62	0.4747326886
63	0.4746317136
64	0.4745136115
65	0.4744194098
66	0.4742296575
67	0.4740801332
68	0.4739834597
69	0.4739249265
70	0.4738299023
71	0.4737021357
72	0.4736401101
73	0.4735560739
74	0.473438749
75	0.4733191925
76	0.4732444763
77	0.4731661743
78	0.4730989871
79	0.4729885472
80	0.472870288
81	0.4727852801
82	0.4727144151
83	0.4726340888
84	0.4725877461
85	0.4724890507
86	0.4723945
87	0.4723357171
88	0.4722919784
89	0.4721801173
90	0.4720932135
91	0.4720608685
92	0.4719721012
93	0.4719090929
94	0.4717968307
95	0.4717079927
96	0.4716289695
97	0.4715599876
98	0.4714896805
99	0.4714264123
100	0.4713220845
101	0.4712375703
102	0.4711574476
103	0.4710881429
104	0.471009281
105	0.4709590023
106	0.4708980643
107	0.4707767956
108	0.4706592661
109	0.4705639437
110	0.4704691952
111	0.4703411112
112	0.4702721307
113	0.4701956225
114	0.470124033
115	0.4700467835
116	0.4699773318
117	0.4699201615
118	0.4698551423
119	0.4697791098
120	0.4697229454
121	0.4696802636
122	0.4696060948
123	0.4695475629
124	0.4694902849
125	0.4694283072
126	0.4693350418
127	0.469303306
128	0.4692201179
129	0.4691444776
130	0.4690695168
131	0.4689577208
132	0.4688979557
133	0.468832566
134	0.4687419916
135	0.4686738569
136	0.4686079157
137	0.4685630936
138	0.4684917073
139	0.4684373736
140	0.4684025934
141	0.4683076533
142	0.4682629461
143	0.4681879824
144	0.4681121623
145	0.4680311755
146	0.4679448217
147	0.4678681348
148	0.4678009274
149	0.4677199647
150	0.4676841909
151	0.4676323263
152	0.4675670171
153	0.4674697286
154	0.4673754941
155	0.4672970881
156	0.4672259794
157	0.4671632754
158	0.4670830422
159	0.4670198798
160	0.4669541872
161	0.4668771802
162	0.4668131821
163	0.4667502628
164	0.4666984508
165	0.4666546651
166	0.4666023696
167	0.4665113962
168	0.4664385297
169	0.4663673355
170	0.466315972
171	0.4662568315
172	0.4661898034
173	0.4661271894
174	0.4660781754
175	0.4660168474
176	0.4659484038
177	0.4658914397
178	0.4658036411
179	0.4657411988
180	0.4656813226
181	0.4656452939
182	0.4656018793
183	0.4655441565
184	0.4655003112
185	0.4654421305
186	0.4653981436
187	0.4653487603
188	0.4652758938
189	0.4652118927
190	0.4651167649
191	0.4650619484
192	0.4650137379
193	0.4649659206
194	0.4648662674
195	0.4647972166
196	0.4647434433
197	0.4646619063
198	0.4646064194
199	0.4645497688
200	0.4644844236
201	0.464412402
202	0.4643744106
203	0.4642965014
204	0.4642423293
205	0.4641978461
206	0.4641484374
207	0.4641037422
208	0.4640412986
209	0.4639641388
210	0.4639023094
211	0.4638438801
212	0.4638010285
213	0.4637544505
214	0.4637100071
215	0.4636618105
216	0.4636063548
217	0.4635442174
218	0.4635020045
219	0.4634554018
220	0.4634089839
221	0.4633470516
222	0.4632775527
223	0.4632170931
224	0.4631806494
225	0.4631275187
226	0.4630976027
227	0.4630459544
228	0.4629966028
229	0.4629316303
230	0.4628684388
231	0.4628259444
232	0.4627749733
233	0.4627301458
234	0.4626795296
235	0.4626284867
236	0.4626013543
237	0.4625587171
238	0.4625068722
239	0.4624502175
240	0.4624108842
241	0.4623545964
242	0.4623005036
243	0.4622586363
244	0.4621941456
245	0.4621589452
246	0.4621079615
247	0.4620464085
248	0.4619942008
249	0.4619261086
250	0.461884404
251	0.4618284701
252	0.4617770759
253	0.461731212
254	0.4616825753
255	0.4616378223
256	0.4615825924
257	0.4615456518
258	0.4614880546
259	0.4614362089
260	0.4613900129
261	0.4613197952
262	0.4612729886
263	0.4612191466
264	0.4611799233
265	0.4611380385
266	0.4610807281
267	0.4610455657
268	0.4610155352
269	0.460968188
270	0.4609067554
271	0.4608587158
272	0.460791935
273	0.4607594374
274	0.4607197599
275	0.4606627927
276	0.4605853415
277	0.460541762
278	0.4604971006
279	0.460457343
280	0.4604067616
281	0.4603735505
282	0.4603199334
283	0.4602511575
284	0.4602107223
285	0.4601702625
286	0.4601258036
287	0.4600920342
288	0.4600328614
289	0.4599837376
290	0.4599342694
291	0.4598949738
292	0.4598577824
293	0.4598012306
294	0.4597715993
295	0.4597167711
296	0.4596793211
297	0.4596206781
298	0.4595832986
299	0.4595348018
300	0.4594952072
301	0.4594630951
302	0.4593934645
303	0.4593567392
304	0.4593144028
305	0.4592736707
306	0.4592433625
307	0.4591988199
308	0.4591557487
309	0.4591119735
310	0.4590818988
311	0.4590238248
312	0.4589921137
313	0.4589405369
314	0.4588894114
315	0.4588391532
316	0.458798185
317	0.4587404004
318	0.4586879291
319	0.4586870195
320	0.4586503365
321	0.458615389
322	0.4585789093
323	0.4585355052
324	0.458483954
325	0.4584367081
326	0.4584100902
327	0.4583413552
328	0.4582992503
329	0.4582617093
330	0.4582227132
331	0.4581745755
332	0.458133816
333	0.4581005002
334	0.4580765714
335	0.4580263485
336	0.4579829394
337	0.4579385139
338	0.4579035493
339	0.4578699439
340	0.4578325018
341	0.4577913702
342	0.4577375668
343	0.4577023379
344	0.4576540726
345	0.4576125506
346	0.4575640992
347	0.4575203813
348	0.4574977316
349	0.4574698269
350	0.4574163409
351	0.4573880901
352	0.4573609434
353	0.457296385
354	0.4572529584
355	0.4572211762
356	0.4571663158
357	0.4571289046
358	0.4570988719
359	0.4570484385
360	0.4569856964
361	0.4569566048
362	0.4569212129
363	0.4568694819
364	0.4568167945
365	0.4567790297
366	0.456743861
367	0.4567108937
368	0.4566848018
369	0.4566516618
370	0.4566188856
371	0.4565824226
372	0.4565308736
373	0.4564973776
374	0.4564554124
375	0.4564280595
376	0.456399544
377	0.4563535307
378	0.4563082195
379	0.4562769029
380	0.4562478579
381	0.4562052887
382	0.45617649
383	0.4561355549
384	0.4560820401
385	0.4560467005
386	0.4560126893
387	0.4559636134
388	0.4559220859
389	0.4558775742
390	0.4558402481
391	0.4558074214
392	0.4557611052
393	0.45571478
394	0.4556874316
395	0.4556591104
396	0.4556186131
397	0.4555803373
398	0.4555407092
399	0.4555013755
400	0.4554551276
401	0.4554253703
402	0.4553855809
403	0.4553438951
404	0.4552974767
405	0.4552426514
406	0.455211105
407	0.4551783819
408	0.4551420734
409	0.4551174166
410	0.4550886675
411	0.4550495477
412	0.4550303747
413	0.4549949592
414	0.4549694034
415	0.4549408353
416	0.4548891089
417	0.454859103
418	0.4548195854
419	0.4547799755
420	0.4547368663
421	0.4547075139
422	0.4546895449
423	0.4546458221
424	0.4545946013
425	0.4545548825
426	0.4545025405
427	0.4544563427
428	0.4544186299
429	0.4543924047
430	0.4543541158
431	0.4543105695
432	0.4542899824
433	0.4542487
434	0.4542281204
435	0.4541895943
436	0.454149822
437	0.454121737
438	0.4540955619
439	0.4540647937
440	0.4540298073
441	0.4539876146
442	0.4539366228
443	0.4539002585
444	0.4538655313
445	0.4538359353
446	0.4537998715
447	0.4537716359
448	0.4537476307
449	0.4537145071
450	0.4536924528
451	0.4536679754
452	0.4536227951
453	0.4535737668
454	0.4535370132
455	0.4534901118
456	0.4534586667
457	0.4534293746
458	0.4533830641
459	0.4533427252
460	0.453315423
461	0.453280307
462	0.4532486127
463	0.4532203289
464	0.4531904246
465	0.4531629828
466	0.4531235411
467	0.4530862413
468	0.4530459681
469	0.453003548
470	0.4529733208
471	0.4529337348
472	0.4528924453
473	0.4528613192
474	0.4528307528
475	0.4527970079
476	0.4527679823
477	0.4527368897
478	0.4527009354
479	0.4526655048
480	0.4526329287
481	0.4526029313
482	0.4525722854
483	0.4525359272
484	0.4524863269
485	0.452456555
486	0.4524199052
487	0.4523861989
488	0.4523518044
489	0.45231188
490	0.4522686422
491	0.4522334409
492	0.452190041
493	0.4521465847
494	0.4521042946
495	0.4520737321
496	0.4520309688
497	0.4519932754
498	0.4519572475
499	0.4519299735
500	0.4519090729
501	0.4518800758
502	0.4518415382
503	0.4518155617
504	0.451767441
505	0.4517317151
506	0.4516809578
507	0.4516413605
508	0.4516059832
509	0.451575603
510	0.4515510061
511	0.4515081837
512	0.4514732265
513	0.451438662
514	0.4514006601
515	0.4513694279
516	0.4513297715
517	0.4512835046
518	0.4512449678
519	0.4512068545
520	0.4511822077
521	0.4511463913
522	0.4511061289
523	0.451078431
524	0.4510317389
525	0.4509935298
526	0.4509513215
527	0.4509253582
528	0.4508807765
529	0.4508324622
530	0.4507855507
531	0.4507612766
532	0.450743377
533	0.4507185797
534	0.4506920376
535	0.4506567628
536	0.4506270968
537	0.4506026131
538	0.4505749393
539	0.4505355389
540	0.4504917978
541	0.4504518999
542	0.4504104622
543	0.4503808341
544	0.4503626627
545	0.4503231353
546	0.4502855241
547	0.4502505611
548	0.4502242012
549	0.450183037
550	0.4501327272
551	0.4500851179
552	0.4500499153
553	0.4500033666
554	0.4499682087
555	0.4499424185
556	0.4499199645
557	0.4499012055
558	0.4498721806
559	0.4498368085
560	0.4498051449
561	0.4497747838
562	0.4497375056
563	0.4496985444
564	0.4496693779
565	0.4496387785
566	0.4496189745
567	0.4495850235
568	0.4495577448
569	0.4495214682
570	0.4494866403
571	0.4494715164
572	0.4494273511
573	0.4493966529
574	0.449360323
575	0.4493226318
576	0.4492892157
577	0.4492512359
578	0.4492139132
579	0.4491853827
580	0.4491462759
581	0.4491256695
582	0.449097918
583	0.4490771271
584	0.4490312633
585	0.4490105076
586	0.4489656816
587	0.4489328779
588	0.4488995577
589	0.4488610607
590	0.4488174281
591	0.4487767275
592	0.4487400329
593	0.4487197043
594	0.4486847642
595	0.4486571914
596	0.4486266731
597	0.448607366
598	0.4485816905
599	0.448553139
600	0.4485204829
601	0.4484931838
602	0.4484637817
603	0.4484195307
604	0.4483963653
605	0.4483627164
606	0.4483278821
