iter	Passed	Remaining
0	27	27426
1	51	25746
2	75	25135
3	101	25338
4	127	25277
5	150	24928
6	175	24961
7	201	25024
8	227	25039
9	253	25081
10	280	25216
11	305	25140
12	333	25319
13	357	25175
14	383	25164
15	410	25242
16	434	25112
17	459	25048
18	485	25056
19	512	25103
20	537	25058
21	563	25048
22	589	25024
23	614	24993
24	640	24974
25	665	24928
26	689	24830
27	714	24787
28	740	24782
29	763	24680
30	788	24633
31	812	24591
32	840	24625
33	863	24531
34	889	24526
35	912	24444
36	937	24411
37	963	24392
38	988	24356
39	1012	24308
40	1037	24269
41	1060	24192
42	1085	24159
43	1110	24118
44	1135	24093
45	1159	24045
46	1182	23972
47	1207	23944
48	1234	23950
49	1255	23862
50	1280	23831
51	1304	23782
52	1329	23752
53	1354	23732
54	1380	23725
55	1406	23707
56	1430	23670
57	1454	23626
58	1477	23559
59	1502	23539
60	1529	23543
61	1552	23494
62	1575	23435
63	1598	23383
64	1625	23379
65	1652	23388
66	1676	23346
67	1700	23310
68	1726	23298
69	1750	23257
70	1775	23233
71	1799	23199
72	1825	23181
73	1851	23171
74	1874	23117
75	1898	23080
76	1924	23065
77	1948	23033
78	1972	23000
79	1997	22969
80	2020	22920
81	2043	22874
82	2068	22852
83	2093	22829
84	2118	22802
85	2143	22781
86	2166	22740
87	2191	22714
88	2215	22678
89	2240	22655
90	2265	22629
91	2289	22596
92	2312	22556
93	2337	22530
94	2364	22525
95	2392	22527
96	2417	22504
97	2443	22488
98	2466	22451
99	2490	22415
100	2514	22381
101	2539	22353
102	2562	22319
103	2587	22293
104	2612	22268
105	2634	22223
106	2659	22196
107	2684	22169
108	2707	22135
109	2733	22115
110	2759	22100
111	2784	22079
112	2810	22058
113	2833	22023
114	2859	22008
115	2885	21990
116	2908	21954
117	2932	21919
118	2956	21891
119	2981	21861
120	3005	21832
121	3029	21800
122	3053	21773
123	3078	21750
124	3102	21717
125	3127	21697
126	3151	21664
127	3173	21621
128	3197	21590
129	3222	21569
130	3247	21540
131	3272	21520
132	3296	21488
133	3320	21457
134	3344	21427
135	3370	21409
136	3393	21373
137	3416	21343
138	3441	21317
139	3465	21290
140	3490	21267
141	3514	21234
142	3537	21202
143	3563	21180
144	3587	21153
145	3612	21128
146	3636	21099
147	3660	21070
148	3686	21052
149	3709	21017
150	3731	20981
151	3756	20958
152	3781	20933
153	3805	20907
154	3829	20878
155	3854	20851
156	3879	20832
157	3903	20804
158	3929	20783
159	3954	20762
160	3979	20735
161	4003	20709
162	4028	20685
163	4052	20655
164	4075	20626
165	4098	20592
166	4123	20565
167	4147	20539
168	4173	20521
169	4198	20500
170	4223	20474
171	4246	20443
172	4272	20422
173	4296	20396
174	4322	20375
175	4346	20348
176	4371	20326
177	4394	20294
178	4419	20268
179	4445	20252
180	4470	20228
181	4493	20195
182	4517	20170
183	4543	20148
184	4568	20123
185	4593	20101
186	4619	20083
187	4646	20069
188	4671	20043
189	4695	20016
190	4718	19987
191	4744	19968
192	4768	19938
193	4790	19900
194	4814	19876
195	4839	19850
196	4863	19824
197	4886	19792
198	4913	19776
199	4938	19753
200	4962	19727
201	4986	19698
202	5009	19666
203	5034	19644
204	5059	19621
205	5083	19594
206	5107	19565
207	5132	19542
208	5156	19516
209	5183	19498
210	5208	19476
211	5233	19451
212	5258	19428
213	5283	19404
214	5307	19377
215	5330	19347
216	5353	19315
217	5376	19285
218	5400	19258
219	5424	19230
220	5448	19204
221	5473	19183
222	5495	19149
223	5520	19124
224	5545	19099
225	5568	19072
226	5592	19043
227	5617	19021
228	5643	19000
229	5670	18983
230	5695	18959
231	5718	18928
232	5743	18905
233	5766	18875
234	5791	18852
235	5815	18826
236	5838	18797
237	5861	18767
238	5886	18744
239	5910	18717
240	5935	18693
241	5962	18674
242	5986	18648
243	6008	18615
244	6033	18593
245	6058	18571
246	6083	18545
247	6108	18522
248	6134	18502
249	6161	18484
250	6186	18459
251	6210	18434
252	6236	18414
253	6261	18391
254	6287	18368
255	6310	18339
256	6335	18315
257	6358	18288
258	6381	18257
259	6405	18230
260	6431	18210
261	6456	18186
262	6481	18162
263	6503	18132
264	6528	18108
265	6554	18085
266	6580	18064
267	6603	18036
268	6629	18015
269	6657	17998
270	6683	17977
271	6708	17954
272	6733	17930
273	6756	17902
274	6782	17881
275	6805	17851
276	6830	17827
277	6854	17801
278	6877	17773
279	6901	17747
280	6927	17724
281	6950	17697
282	6976	17674
283	7001	17651
284	7026	17628
285	7054	17610
286	7080	17590
287	7103	17561
288	7129	17539
289	7155	17519
290	7180	17494
291	7202	17464
292	7226	17436
293	7249	17408
294	7274	17384
295	7298	17358
296	7322	17331
297	7346	17306
298	7370	17279
299	7395	17257
300	7420	17232
301	7442	17200
302	7467	17178
303	7491	17152
304	7516	17127
305	7540	17101
306	7563	17073
307	7589	17052
308	7613	17026
309	7639	17004
310	7664	16980
311	7689	16956
312	7713	16929
313	7737	16905
314	7761	16877
315	7785	16853
316	7810	16827
317	7834	16802
318	7858	16777
319	7876	16737
320	7900	16710
321	7924	16685
322	7949	16661
323	7973	16636
324	8000	16615
325	8025	16591
326	8049	16565
327	8074	16542
328	8096	16513
329	8122	16490
330	8144	16460
331	8168	16434
332	8192	16408
333	8214	16380
334	8238	16353
335	8262	16328
336	8288	16306
337	8314	16284
338	8338	16259
339	8364	16236
340	8389	16212
341	8413	16187
342	8439	16166
343	8463	16140
344	8489	16117
345	8514	16093
346	8537	16065
347	8562	16042
348	8584	16013
349	8609	15988
350	8635	15966
351	8659	15940
352	8684	15917
353	8709	15893
354	8733	15867
355	8758	15844
356	8781	15816
357	8805	15790
358	8829	15765
359	8854	15741
